step,attribute,stat,value
2,velocityMag,p5Bits,19.58284595182590237528
2,velocityMag,p25Bits,20.72750970176189255767
2,velocityMag,p50Bits,21.40845279440375747981
2,velocityMag,p75Bits,21.92495142282323783434
2,velocityMag,p95Bits,22.53539075517563361473
2,velocityMag,maxBits,23.36388561683538611646
2,velocityMag,meanBits,21.26407330966336672873
2,velocityTheta,minBits,21.21449595674874188944
2,velocityTheta,p5Bits,27.32687027316108085984
2,velocityTheta,p25Bits,29.57309528644082519122
2,velocityTheta,p50Bits,30.61622203308667877764
2,velocityTheta,p75Bits,31.22249721484923412618
2,velocityTheta,p95Bits,31.56793250978268261520
2,velocityTheta,maxBits,31.65126946404129526513
2,velocityTheta,meanBits,30.17977503909442660301
2,radius,minBits,7.56516859404029062830
2,radius,p5Bits,16.17099435971252319177
2,radius,p25Bits,18.61484448783755141221
2,radius,p50Bits,19.75176873368366159411
2,radius,p75Bits,20.54984328147401129172
2,radius,p95Bits,21.29481629681916388108
2,radius,maxBits,21.85008965906839861759
2,radius,meanBits,19.38883772824484452713
2,total,minBits,89.59766499313563770102
2,total,p5Bits,100.80639789313249821134
2,total,p25Bits,116.75051688995536380844
2,total,p50Bits,119.93344929607559379292
2,total,p75Bits,122.50930682924065706629
2,total,p95Bits,125.19242263222363931163
2,total,maxBits,128.26097604365452298225
2,total,meanBits,118.32739967352573273729
3,positionMagTouching,minBits,1.00000000000000000000
3,positionMagTouching,p5Bits,1.00000009136578071889
3,positionMagTouching,p25Bits,19.51658766458088933859
3,positionMagTouching,p50Bits,22.02593068579184887312
3,positionMagTouching,p75Bits,23.78933340987022759805
3,positionMagTouching,p95Bits,24.93027762708052108565
3,positionMagTouching,maxBits,27.59301510778561805637
3,positionMagTouching,meanBits,20.31814282460992870938
3,positionTheta,minBits,18.40123585300553799016
3,positionTheta,p5Bits,24.60731534558525979151
3,positionTheta,p25Bits,26.51058803323848422906
3,positionTheta,p50Bits,27.44764584926418393707
3,positionTheta,p75Bits,28.10644575381907728229
3,positionTheta,p95Bits,28.61763971058725886110
3,positionTheta,maxBits,29.07806528532262646536
3,positionTheta,meanBits,27.14366089833614026361
3,velocityMag,minBits,13.66343134797179814655
3,velocityMag,p5Bits,19.43476956005806499661
3,velocityMag,p25Bits,20.76690624550424146832
3,velocityMag,p50Bits,21.42645824978789192983
3,velocityMag,p75Bits,21.92541185996307717687
3,velocityMag,p95Bits,22.52502756581199960806
3,velocityMag,maxBits,23.40797067096914219064
3,velocityMag,meanBits,21.26277932178962615239
3,velocityTheta,minBits,20.34252418167480769284
3,velocityTheta,p5Bits,27.17835861922774043364
3,velocityTheta,p25Bits,29.57718894991435476527
3,velocityTheta,p50Bits,30.63229145874514713910
3,velocityTheta,p75Bits,31.21631193405013604547
3,velocityTheta,p95Bits,31.56757221424658155229
3,velocityTheta,maxBits,31.65093226301234707876
3,velocityTheta,meanBits,30.15785981042765584448
3,radius,minBits,7.56516859404029062830
3,radius,p5Bits,16.16917463760923467930
3,radius,p25Bits,18.61815314836441359603
3,radius,p50Bits,19.75163162667639227266
3,radius,p75Bits,20.54190930176101659299
3,radius,p95Bits,21.30001710376275525505
3,radius,maxBits,21.85008965906839861759
3,radius,meanBits,19.38927036175527973683
3,total,minBits,88.77692480149845266624
3,total,p5Bits,101.10867097341191822579
3,total,p25Bits,116.53698551403655869763
3,total,p50Bits,119.78247633980816999610
3,total,p75Bits,122.51519675132243492044
3,total,p95Bits,125.14397495512739055812
3,total,maxBits,127.86861515101507791314
3,total,meanBits,118.27171321691892558192
4,positionMagTouching,minBits,1.00000000000000000000
4,positionMagTouching,p5Bits,1.00000006986795142438
4,positionMagTouching,p25Bits,19.42270235102644448943
4,positionMagTouching,p50Bits,22.05902831753927983982
4,positionMagTouching,p75Bits,23.76261461519902340456
4,positionMagTouching,p95Bits,24.91391566074959484922
4,positionMagTouching,maxBits,27.45241521466683209951
4,positionMagTouching,meanBits,20.21720664642724329951
4,positionTheta,minBits,11.31075734289750300832
4,positionTheta,p5Bits,24.65110645158800295462
4,positionTheta,p25Bits,26.47388816435730518606
4,positionTheta,p50Bits,27.41125438379803114231
4,positionTheta,p75Bits,28.10869434616112272352
4,positionTheta,p95Bits,28.61498996437025610362
4,positionTheta,maxBits,28.94339237970423184265
4,positionTheta,meanBits,27.13113646492625363749
4,velocityMag,minBits,16.69994444641086062120
4,velocityMag,p5Bits,19.47013882917079286017
4,velocityMag,p25Bits,20.76670808467823547971
4,velocityMag,p50Bits,21.40245849920230369889
4,velocityMag,p75Bits,21.93843311952596764058
4,velocityMag,p95Bits,22.57903353591562733982
4,velocityMag,maxBits,23.51091175253710474635
4,velocityMag,meanBits,21.26176953129036562018
4,velocityTheta,minBits,18.26751790293950961086
4,velocityTheta,p5Bits,27.17835861922774753907
4,velocityTheta,p25Bits,29.55608722871971849600
4,velocityTheta,p50Bits,30.63020120932561596305
4,velocityTheta,p75Bits,31.24412617747117693057
4,velocityTheta,p95Bits,31.57549167538480006101
4,velocityTheta,maxBits,31.65102023259782271225
4,velocityTheta,meanBits,30.17034686689792621905
4,radius,minBits,7.56516859404029062830
4,radius,p5Bits,16.16344405252342397716
4,radius,p25Bits,18.61174038686253950914
4,radius,p50Bits,19.75140785702733836615
4,radius,p75Bits,20.54369994075910099696
4,radius,p95Bits,21.30010112957137380363
4,radius,maxBits,21.85008965906839861759
4,radius,meanBits,19.38667497071784495688
4,total,minBits,88.83432199153298824967
4,total,p5Bits,100.51418253425939042245
4,total,p25Bits,116.31849009755293877788
4,total,p50Bits,119.82981604888988158564
4,total,p75Bits,122.42307676805774008244
4,total,p95Bits,125.22688519920313865441
4,total,maxBits,129.27919350846818247192
4,total,meanBits,118.16713448025976163080
5,positionMagTouching,minBits,1.00000000000000000000
5,positionMagTouching,p5Bits,1.00000005911903500078
5,positionMagTouching,p25Bits,19.40597359529012777557
5,positionMagTouching,p50Bits,22.00985802904132526692
5,positionMagTouching,p75Bits,23.74795158318615051485
5,positionMagTouching,p95Bits,24.90741439613020347110
5,positionMagTouching,maxBits,27.42372067722802242429
5,positionMagTouching,meanBits,20.10399316310127559859
5,positionTheta,minBits,15.89077373295057249436
5,positionTheta,p5Bits,24.70543900686017835255
5,positionTheta,p25Bits,26.45232745739686208708
5,positionTheta,p50Bits,27.41538486922490136521
5,positionTheta,p75Bits,28.10863194215113836094
5,positionTheta,p95Bits,28.62758363928459459657
5,positionTheta,maxBits,28.95123581309083249380
5,positionTheta,meanBits,27.12176493417559086652
5,velocityMag,minBits,15.48818949853770199354
5,velocityMag,p5Bits,19.53602943225835986141
5,velocityMag,p25Bits,20.77960383915225150986
5,velocityMag,p50Bits,21.44924380233314309407
5,velocityMag,p75Bits,21.93844148325199228111
5,velocityMag,p95Bits,22.58808790300107816051
5,velocityMag,maxBits,23.45824316110538632074
5,velocityMag,meanBits,21.28496032198144760628
5,velocityTheta,minBits,20.41728380349087856871
5,velocityTheta,p5Bits,27.42741757128067803251
5,velocityTheta,p25Bits,29.67382316031986633220
5,velocityTheta,p50Bits,30.63734270213472399291
5,velocityTheta,p75Bits,31.22865907456113276908
5,velocityTheta,p95Bits,31.57973860076828742649
5,velocityTheta,maxBits,31.65127912375902141662
5,velocityTheta,meanBits,30.21305385210404637064
5,radius,minBits,7.56516859404029062830
5,radius,p5Bits,16.12250821812928336385
5,radius,p25Bits,18.60839948746500027710
5,radius,p50Bits,19.75140785702733836615
5,radius,p75Bits,20.54902935378476058759
5,radius,p95Bits,21.30030412938405603995
5,radius,maxBits,21.85008965906839861759
5,radius,meanBits,19.38340013907262715520
5,total,minBits,85.88661235091828416444
5,total,p5Bits,100.21578691876538869110
5,total,p25Bits,116.42061002443513473281
5,total,p50Bits,119.79662357945991857378
5,total,p75Bits,122.42421188688010147416
5,total,p95Bits,125.19505589564225545018
5,total,maxBits,129.13175892813382006352
5,total,meanBits,118.10717241043495562280
6,positionMagTouching,minBits,1.00000000000000000000
6,positionMagTouching,p5Bits,1.00000006449349143622
6,positionMagTouching,p25Bits,19.42738373078033831121
6,positionMagTouching,p50Bits,21.99373707486917695064
6,positionMagTouching,p75Bits,23.72104313918229934188
6,positionMagTouching,p95Bits,24.89580456661845531130
6,positionMagTouching,maxBits,27.39520200978733299735
6,positionMagTouching,meanBits,20.05366729750688747913
6,positionTheta,minBits,19.01748841289023417289
6,positionTheta,p5Bits,24.54546048919184997317
6,positionTheta,p25Bits,26.35526908034920268165
6,positionTheta,p50Bits,27.37069279322842163538
6,positionTheta,p75Bits,28.07992270758042963053
6,positionTheta,p95Bits,28.62108605291954432914
6,positionTheta,maxBits,28.91716310057221761554
6,positionTheta,meanBits,27.08069891380969096417
6,velocityMag,minBits,15.95363538821663951239
6,velocityMag,p5Bits,19.47779796791340345408
6,velocityMag,p25Bits,20.70793144909252703201
6,velocityMag,p50Bits,21.39066347137569579218
6,velocityMag,p75Bits,21.95933641593768470557
6,velocityMag,p95Bits,22.58578441425964555833
6,velocityMag,maxBits,23.56709044731257662875
6,velocityMag,meanBits,21.24744839818029618073
6,velocityTheta,minBits,19.45914846398105879643
6,velocityTheta,p5Bits,27.22529200754975775567
6,velocityTheta,p25Bits,29.60105087091430675628
6,velocityTheta,p50Bits,30.59320802330420363546
6,velocityTheta,p75Bits,31.21798561566082241825
6,velocityTheta,p95Bits,31.58085908440591893509
6,velocityTheta,maxBits,31.65141796767820636660
6,velocityTheta,meanBits,30.15999667140830453604
6,radius,minBits,7.56516859404029062830
6,radius,p5Bits,16.16433826120537986526
6,radius,p25Bits,18.60839948746500027710
6,radius,p50Bits,19.75163162667639227266
6,radius,p75Bits,20.54902935378476058759
6,radius,p95Bits,21.30030412938405603995
6,radius,maxBits,21.85008965906839861759
6,radius,meanBits,19.38686377858150322595
6,total,minBits,85.16478691496429576091
6,total,p5Bits,100.12900266115227054797
6,total,p25Bits,116.03125764369704597812
6,total,p50Bits,119.65527948482406372932
6,total,p75Bits,122.41816929779504619091
6,total,p95Bits,125.21336199145991940895
6,total,maxBits,128.52575050348551144452
6,total,meanBits,117.92867505948655093562
7,positionMagTouching,minBits,1.00000000000000000000
7,positionMagTouching,p5Bits,1.00000006986795142438
7,positionMagTouching,p25Bits,19.47859981285789032768
7,positionMagTouching,p50Bits,22.03821788617455368353
7,positionMagTouching,p75Bits,23.68343680110736926281
7,positionMagTouching,p95Bits,24.86448154439801072613
7,positionMagTouching,maxBits,27.35588260399001114820
7,positionMagTouching,meanBits,20.17404781496564680765
7,positionTheta,minBits,19.27891588397836031277
7,positionTheta,p5Bits,24.68034752548428301111
7,positionTheta,p25Bits,26.43503097821036718074
7,positionTheta,p50Bits,27.36927221471875881775
7,positionTheta,p75Bits,28.07793827806563058402
7,positionTheta,p95Bits,28.61015558094353039564
7,positionTheta,maxBits,28.89559897486440931402
7,positionTheta,meanBits,27.09282531507614422139
7,velocityMag,minBits,15.99793698019329468707
7,velocityMag,p5Bits,19.54069440973233895420
7,velocityMag,p25Bits,20.72861498778232913764
7,velocityMag,p50Bits,21.40207870361662401137
7,velocityMag,p75Bits,21.95872610487428389092
7,velocityMag,p95Bits,22.57642064192252462362
7,velocityMag,maxBits,23.47553000681683599282
7,velocityMag,meanBits,21.27067136764781807301
7,velocityTheta,minBits,21.82558947400739413069
7,velocityTheta,p5Bits,27.32159117601246123286
7,velocityTheta,p25Bits,29.62589400059772160034
7,velocityTheta,p50Bits,30.62721489296281873749
7,velocityTheta,p75Bits,31.25251385954320682004
7,velocityTheta,p95Bits,31.58015692524467610269
7,velocityTheta,maxBits,31.65021705921035888309
7,velocityTheta,meanBits,30.19672448106420148406
7,radius,minBits,7.56516859404029062830
7,radius,p5Bits,16.16344405252342397716
7,radius,p25Bits,18.62440614528568261221
7,radius,p50Bits,19.75299739065055604215
7,radius,p75Bits,20.54877681793411170474
7,radius,p95Bits,21.30010112957137380363
7,radius,maxBits,21.85008965906839861759
7,radius,meanBits,19.39160454540393985212
7,total,minBits,86.52728310240372877615
7,total,p5Bits,100.78189521070223122479
7,total,p25Bits,116.26937037845635813937
7,total,p50Bits,119.72475177364215426223
7,total,p75Bits,122.41228222633824884724
7,total,p95Bits,125.18865529902102196047
7,total,maxBits,128.01735760373173889093
7,total,meanBits,118.12587352415752661727
8,positionMagTouching,minBits,1.00000000000000000000
8,positionMagTouching,p5Bits,1.00000006986795142438
8,positionMagTouching,p25Bits,19.58667043793380457828
8,positionMagTouching,p50Bits,22.06689743667948633288
8,positionMagTouching,p75Bits,23.66102369523385107186
8,positionMagTouching,p95Bits,24.83918328254081586692
8,positionMagTouching,maxBits,27.29225212771482844687
8,positionMagTouching,meanBits,20.19761354184111823429
8,positionTheta,minBits,12.39650605823155515850
8,positionTheta,p5Bits,24.56254863133492349903
8,positionTheta,p25Bits,26.40079299536029822093
8,positionTheta,p50Bits,27.39989973319372040805
8,positionTheta,p75Bits,28.07049574734376307106
8,positionTheta,p95Bits,28.62189895560314667478
8,positionTheta,maxBits,28.92100866665532876709
8,positionTheta,meanBits,27.07772686724645794243
8,velocityMag,minBits,16.09435197897368396980
8,velocityMag,p5Bits,19.39039288968870522467
8,velocityMag,p25Bits,20.73904024296661674498
8,velocityMag,p50Bits,21.38527198437729026637
8,velocityMag,p75Bits,21.93013124136757596716
8,velocityMag,p95Bits,22.58065232850465520187
8,velocityMag,maxBits,23.29217309716054984392
8,velocityMag,meanBits,21.25108712519526221740
8,velocityTheta,minBits,19.76036452649967145589
8,velocityTheta,p5Bits,27.35314895501004528455
8,velocityTheta,p25Bits,29.62479971378582277453
8,velocityTheta,p50Bits,30.63421936161323699821
8,velocityTheta,p75Bits,31.22984648273532926055
8,velocityTheta,p95Bits,31.58237772534743115216
8,velocityTheta,maxBits,31.65137344320906720441
8,velocityTheta,meanBits,30.18362840077476150213
8,radius,minBits,7.56516859404029062830
8,radius,p5Bits,16.16344405252342397716
8,radius,p25Bits,18.62546084198689300138
8,radius,p50Bits,19.75714026286953384215
8,radius,p75Bits,20.55272241834179069997
8,radius,p95Bits,21.30001710376275525505
8,radius,maxBits,21.85008965906839861759
8,radius,meanBits,19.39415488667875209217
8,total,minBits,88.91006042741106796257
8,total,p5Bits,100.88255584687846067027
8,total,p25Bits,116.22977901913138509826
8,total,p50Bits,119.72989858721240352679
8,total,p75Bits,122.36277654844229800801
8,total,p95Bits,125.12944813545587408044
8,total,maxBits,128.34225712678991726534
8,total,meanBits,118.10421082173657225667
9,positionMagTouching,minBits,1.00000000000000000000
9,positionMagTouching,p5Bits,1.00000006449349143622
9,positionMagTouching,p25Bits,19.56081320928867128828
9,positionMagTouching,p50Bits,22.09349432196214024771
9,positionMagTouching,p75Bits,23.65629025073966573700
9,positionMagTouching,p95Bits,24.82391027005510153458
9,positionMagTouching,maxBits,27.22265651967659039201
9,positionMagTouching,meanBits,20.18227767261969418655
9,positionTheta,minBits,17.37969109112056997901
9,positionTheta,p5Bits,24.53016964272901745403
9,positionTheta,p25Bits,26.42424847002196486301
9,positionTheta,p50Bits,27.38259311668886653024
9,positionTheta,p75Bits,28.05893001714901657806
9,positionTheta,p95Bits,28.60851806760824089793
9,positionTheta,maxBits,28.86678455029147727373
9,positionTheta,meanBits,27.08198628374032068677
9,velocityMag,minBits,15.95434890738304822833
9,velocityMag,p5Bits,19.38697122516332527198
9,velocityMag,p25Bits,20.70113306287966281616
9,velocityMag,p50Bits,21.37726487279241638362
9,velocityMag,p75Bits,21.95496429320019515785
9,velocityMag,p95Bits,22.56253126072144610248
9,velocityMag,maxBits,23.60646029121189215516
9,velocityMag,meanBits,21.24495600820488405702
9,velocityTheta,minBits,20.38664034988034501339
9,velocityTheta,p5Bits,27.31430595438389730134
9,velocityTheta,p25Bits,29.55743051180543901069
9,velocityTheta,p50Bits,30.62081687792883144539
9,velocityTheta,p75Bits,31.21749131159597467899
9,velocityTheta,p95Bits,31.58590834625452004047
9,velocityTheta,maxBits,31.65078958871157155386
9,velocityTheta,meanBits,30.16211838782760779054
9,radius,minBits,7.56516859404029062830
9,radius,p5Bits,16.17099435971252319177
9,radius,p25Bits,18.62988169843391261793
9,radius,p50Bits,19.75901786183499098115
9,radius,p75Bits,20.55823445554071327024
9,radius,p95Bits,21.30010112957137380363
9,radius,maxBits,21.85008965906839861759
9,radius,meanBits,19.40219337466819027327
9,total,minBits,84.60047035383882985116
9,total,p5Bits,100.49355342920327416323
9,total,p25Bits,116.23558730665081384359
9,total,p50Bits,119.82929408727764553078
9,total,p75Bits,122.33743198754920911142
9,total,p95Bits,125.03402464674798011401
9,total,maxBits,127.96571887155688784787
9,total,meanBits,118.07353172706081068100
10,positionMagTouching,minBits,1.00000000000000000000
10,positionMagTouching,p5Bits,1.00000006449349143622
10,positionMagTouching,p25Bits,19.48842390826451520525
10,positionMagTouching,p50Bits,22.06823093176523542525
10,positionMagTouching,p75Bits,23.69090291988823437919
10,positionMagTouching,p95Bits,24.79966774322101130679
10,positionMagTouching,maxBits,27.21530215199074476118
10,positionMagTouching,meanBits,20.12421957963455554363
10,positionTheta,minBits,15.12328080927771978281
10,positionTheta,p5Bits,24.50407302981014368015
10,positionTheta,p25Bits,26.35892330604466593513
10,positionTheta,p50Bits,27.38024647184219517726
10,positionTheta,p75Bits,28.05778991914389308704
10,positionTheta,p95Bits,28.60577567517617225690
10,positionTheta,maxBits,28.91758101745941189620
10,positionTheta,meanBits,27.06715642695923662586
10,velocityMag,minBits,14.84097713202643475938
10,velocityMag,p5Bits,19.43755868905598305219
10,velocityMag,p25Bits,20.70185230221039063281
10,velocityMag,p50Bits,21.39372304263426372017
10,velocityMag,p75Bits,21.91679498196489461748
10,velocityMag,p95Bits,22.55815949269733877713
10,velocityMag,maxBits,23.44167811541220203253
10,velocityMag,meanBits,21.23839349981602353523
10,velocityTheta,minBits,19.54673503447038029890
10,velocityTheta,p5Bits,27.34310704865191254953
10,velocityTheta,p25Bits,29.55685748838627091573
10,velocityTheta,p50Bits,30.63151626112745162800
10,velocityTheta,p75Bits,31.22245784452795547281
10,velocityTheta,p95Bits,31.57355357793124284171
10,velocityTheta,maxBits,31.65096538380262813916
10,velocityTheta,meanBits,30.17552811215730557137
10,radius,minBits,7.56516859404029062830
10,radius,p5Bits,16.20788289478066701577
10,radius,p25Bits,18.62440614528568261221
10,radius,p50Bits,19.75520077855998835048
10,radius,p75Bits,20.54877681793411170474
10,radius,p95Bits,21.30001710376275525505
10,radius,maxBits,21.85008965906839861759
10,radius,meanBits,19.40089498318015159839
10,total,minBits,89.74799646129864072464
10,total,p5Bits,100.42138241688169841836
10,total,p25Bits,116.08706689583813442823
10,total,p50Bits,119.75403763449081395720
10,total,p75Bits,122.36826971769744432095
10,total,p95Bits,124.93904195817285085468
10,total,maxBits,127.93589482798485335024
10,total,meanBits,118.00619260174714497680
11,positionMagTouching,minBits,1.00000000000000000000
11,positionMagTouching,p5Bits,1.00000007524240785983
11,positionMagTouching,p25Bits,19.56259889003344198954
11,positionMagTouching,p50Bits,22.08378962901320718970
11,positionMagTouching,p75Bits,23.65852127325935327917
11,positionMagTouching,p95Bits,24.81413936131071196201
11,positionMagTouching,maxBits,27.49206072913829501658
11,positionMagTouching,meanBits,20.15115841141079044974
11,positionTheta,minBits,16.57324438159745483290
11,positionTheta,p5Bits,24.56362258139213139430
11,positionTheta,p25Bits,26.39864822160570057008
11,positionTheta,p50Bits,27.37145566429226306582
11,positionTheta,p75Bits,28.05559821839974787849
11,positionTheta,p95Bits,28.60792752237219715994
11,positionTheta,maxBits,28.92043938107122968972
11,positionTheta,meanBits,27.08017670573262236644
11,velocityMag,minBits,13.82436924345486417565
11,velocityMag,p5Bits,19.42288650215411038857
11,velocityMag,p25Bits,20.72070797653143614525
11,velocityMag,p50Bits,21.39150474880488772556
11,velocityMag,p75Bits,21.92105491537492412135
11,velocityMag,p95Bits,22.62699645927244063159
11,velocityMag,maxBits,23.41411582866313878526
11,velocityMag,meanBits,21.24758772169736431579
11,velocityTheta,minBits,19.27252841848245878964
11,velocityTheta,p5Bits,27.37195020459052230422
11,velocityTheta,p25Bits,29.60063406232580618394
11,velocityTheta,p50Bits,30.58519469421381486995
11,velocityTheta,p75Bits,31.21188798496706695573
11,velocityTheta,p95Bits,31.57046947008389992106
11,velocityTheta,maxBits,31.65042416807223091268
11,velocityTheta,meanBits,30.16968178238580833295
11,radius,minBits,7.56516859404029062830
11,radius,p5Bits,16.16917463760923467930
11,radius,p25Bits,18.61484448783755141221
11,radius,p50Bits,19.75176873368366159411
11,radius,p75Bits,20.53923880037611127136
11,radius,p95Bits,21.29481629681916388108
11,radius,maxBits,21.85008965906839861759
11,radius,meanBits,19.38909938132444565895
11,total,minBits,88.65305542329757315656
11,total,p5Bits,100.80394140315975448630
11,total,p25Bits,116.27390892904280406128
11,total,p50Bits,119.59808694349271718238
11,total,p75Bits,122.36237266417253977124
11,total,p95Bits,125.10775860327831310315
11,total,maxBits,127.78093713163083577911
11,total,meanBits,118.03770400255119454869
12,positionMagTouching,minBits,1.00000000000000000000
12,positionMagTouching,p5Bits,1.00000005911903500078
12,positionMagTouching,p25Bits,19.64601499560503583552
12,positionMagTouching,p50Bits,22.12272198051126537166
12,positionMagTouching,p75Bits,23.65299386206717358050
12,positionMagTouching,p95Bits,24.76896772820471781529
12,positionMagTouching,maxBits,27.18921852968390950878
12,positionMagTouching,meanBits,20.17454108854284200447
12,positionTheta,minBits,20.08275883312582976714
12,positionTheta,p5Bits,24.74083912673000895666
12,positionTheta,p25Bits,26.44558691718691534334
12,positionTheta,p50Bits,27.38588473751529406286
12,positionTheta,p75Bits,28.04845980168254371279
12,positionTheta,p95Bits,28.62407250728389840333
12,positionTheta,maxBits,28.90044275740039481093
12,positionTheta,meanBits,27.11445827401485786368
12,velocityMag,minBits,14.18549100446206878701
12,velocityMag,p5Bits,19.36814236992817583882
12,velocityMag,p25Bits,20.70066381338391892086
12,velocityMag,p50Bits,21.40177359391681122247
12,velocityMag,p75Bits,21.91926121815407313420
12,velocityMag,p95Bits,22.63154043662977699114
12,velocityMag,maxBits,23.45240398680713411750
12,velocityMag,meanBits,21.23591477213650691169
12,velocityTheta,minBits,16.49818151569429147685
12,velocityTheta,p5Bits,27.24223585340031661417
12,velocityTheta,p25Bits,29.49744369367725838060
12,velocityTheta,p50Bits,30.58673411090308036364
12,velocityTheta,p75Bits,31.20456753699678742464
12,velocityTheta,p95Bits,31.57393573558199761919
12,velocityTheta,maxBits,31.65148452306493354058
12,velocityTheta,meanBits,30.13794391602381494977
12,radius,minBits,7.56516859404029062830
12,radius,p5Bits,16.16917463760923467930
12,radius,p25Bits,18.61815314836441359603
12,radius,p50Bits,19.75180509501742776024
12,radius,p75Bits,20.54583720736858154510
12,radius,p95Bits,21.29837427065841382046
12,radius,maxBits,21.85008965906839861759
12,radius,meanBits,19.39137704578124044019
12,total,minBits,83.30000829825488040115
12,total,p5Bits,100.79130179108985032599
12,total,p25Bits,116.29737714073047527563
12,total,p50Bits,119.69575076229283183693
12,total,p75Bits,122.41818110182811096820
12,total,p95Bits,125.00017321021312000084
12,total,maxBits,128.04549610509769763667
12,total,meanBits,118.05423509649898505813
13,positionMagTouching,minBits,1.00000000000000000000
13,positionMagTouching,p5Bits,1.00000006986795142438
13,positionMagTouching,p25Bits,19.70782684073461155094
13,positionMagTouching,p50Bits,22.11540090384632151199
13,positionMagTouching,p75Bits,23.63646857022394343062
13,positionMagTouching,p95Bits,24.77349918374680370903
13,positionMagTouching,maxBits,27.22282140748792755858
13,positionMagTouching,meanBits,20.17670678862513966578
13,positionTheta,minBits,20.08461886365126858323
13,positionTheta,p5Bits,24.51337385492280418475
13,positionTheta,p25Bits,26.40674563959255749523
13,positionTheta,p50Bits,27.37347712656877263271
13,positionTheta,p75Bits,28.07759962763112682183
13,positionTheta,p95Bits,28.61788710132266544406
13,positionTheta,maxBits,29.11877939893658506776
13,positionTheta,meanBits,27.08351013450643307579
13,velocityMag,minBits,16.00651292014504178951
13,velocityMag,p5Bits,19.44262083410250241400
13,velocityMag,p25Bits,20.74212008535888429606
13,velocityMag,p50Bits,21.41181013613661221484
13,velocityMag,p75Bits,21.92115117724663519994
13,velocityMag,p95Bits,22.57920138410475630053
13,velocityMag,maxBits,23.41396297062350129181
13,velocityMag,meanBits,21.25897365417766593509
13,velocityTheta,minBits,21.66484083855131359542
13,velocityTheta,p5Bits,27.40175535586042698810
13,velocityTheta,p25Bits,29.63434802401955181494
13,velocityTheta,p50Bits,30.62348729512260092633
13,velocityTheta,p75Bits,31.19917209013739878287
13,velocityTheta,p95Bits,31.56122647502571965106
13,velocityTheta,maxBits,31.64994248888823591415
13,velocityTheta,meanBits,30.19657982813348695572
13,radius,minBits,7.56516859404029062830
13,radius,p5Bits,16.17609115339451975046
