step,attribute,stat,value
1,positionMagTouching,minBits,1.00000000000000000000
1,positionMagTouching,p5Bits,1.00000007524240785983
1,positionMagTouching,p25Bits,19.66689553822377334313
1,positionMagTouching,p50Bits,22.11839693522386696145
1,positionMagTouching,p75Bits,23.81290777589692098104
1,positionMagTouching,p95Bits,24.93672992786441611202
1,positionMagTouching,maxBits,27.47825004991278419197
1,positionMagTouching,meanBits,20.37553720115948863167
1,positionTheta,minBits,14.36984090164059679751
1,positionTheta,p5Bits,24.83610668696573853254
1,positionTheta,p25Bits,26.59562516746117566413
1,positionTheta,p50Bits,27.47897655096960534138
1,positionTheta,p75Bits,28.09129025042366123444
1,positionTheta,p95Bits,28.61666839653556237977
1,positionTheta,maxBits,28.99203918543859259671
1,positionTheta,meanBits,27.18643389520017805694
1,velocityMag,minBits,14.68253372217318108994
1,velocityMag,p5Bits,19.49114867652909310891
1,velocityMag,p25Bits,20.78475977206952762799
1,velocityMag,p50Bits,21.42083611113649510571
1,velocityMag,p75Bits,21.93179031696485026259
1,velocityMag,p95Bits,22.54607279149838561239
1,velocityMag,maxBits,23.78022081294599843204
1,velocityMag,meanBits,21.27551497968868332578
1,velocityTheta,minBits,20.00677343304869637564
1,velocityTheta,p5Bits,27.21680517656542974692
1,velocityTheta,p25Bits,29.62907401618625158335
1,velocityTheta,p50Bits,30.64073996931659493725
1,velocityTheta,p75Bits,31.21910209918521772465
1,velocityTheta,p95Bits,31.56470248081482310454
1,velocityTheta,maxBits,31.65144239170277273843
1,velocityTheta,meanBits,30.19498603064839414856
1,radius,minBits,7.56516859404029062830
1,radius,p5Bits,16.17099435971252319177
1,radius,p25Bits,18.61484448783755141221
1,radius,p50Bits,19.75163162667639227266
1,radius,p75Bits,20.54649406709913961322
1,radius,p95Bits,21.29270392239024545233
1,radius,maxBits,21.85008965906839861759
1,radius,meanBits,19.38801138072659568934
1,total,minBits,86.96811083261604835570
1,total,p5Bits,101.28833271702602303321
1,total,p25Bits,116.67838613740185849110
1,total,p50Bits,120.03153152953905191680
1,total,p75Bits,122.61546784621108940883
1,total,p95Bits,125.20741779532434634348
1,total,maxBits,128.44936777118587656332
1,total,meanBits,118.42048348742351038254
2,positionMagTouching,minBits,1.00000000000000000000
2,positionMagTouching,p5Bits,1.00000008061686429528
2,positionMagTouching,p25Bits,19.62141930488365204610
2,positionMagTouching,p50Bits,22.09665220289480203064
2,positionMagTouching,p75Bits,23.78188991326898360512
2,positionMagTouching,p95Bits,24.91904141509447612179
2,positionMagTouching,maxBits,27.47657438219703962545
2,positionMagTouching,meanBits,20.32340124145917670262
2,positionTheta,minBits,15.53810566742116172634
2,positionTheta,p5Bits,24.79551516116676168622
2,positionTheta,p25Bits,26.54477437355664903862
2,positionTheta,p50Bits,27.45952703189702859277
2,positionTheta,p75Bits,28.10465576043687008223
2,positionTheta,p95Bits,28.62013864611444802222
2,positionTheta,maxBits,28.91637777717310342496
2,positionTheta,meanBits,27.17131235506412068048
2,velocityMag,minBits,15.87726508975908323862
