method,attribute,stat,value
mst.totalBits,velocityTheta,p75,1.97536882555189396982
mst.totalBits,velocityTheta,p95,2.92436073112194216961
mst.totalBits,velocityTheta,max,3.13747349913764894680
mst.totalBits,velocityTheta,mean,1.23512727191111437719
mst.totalBits,velocityTheta,trueMean,1.23512727191111437719
mst.totalBits,velocityTheta,meanDeviation,0.79483240552998213335
mst.totalBits,velocityTheta,minBits,21.68143157480070470911
mst.totalBits,velocityTheta,p5Bits,25.89546042430779593246
mst.totalBits,velocityTheta,p25Bits,28.71019052621721101559
mst.totalBits,velocityTheta,p50Bits,30.10624174080085779792
mst.totalBits,velocityTheta,p75Bits,30.98212204863315832881
mst.totalBits,velocityTheta,p95Bits,31.54812128515768421266
mst.totalBits,velocityTheta,maxBits,31.64960327415921526040
mst.totalBits,velocityTheta,meanBits,29.58747038565403286725
mst.totalBits,velocityTheta,meanDeviationBits,29.25487326577710689435
mst.totalBits,velocityTheta,columnBits,32.00000000000000000000
mst.totalBits,velocityTheta,varwidthBits,31.25025025024988067912
mst.totalBits,velocityTheta,lzmaBits,8.34434434434434457728
mst.totalBits,radius,min,0.00000052682355939845
mst.totalBits,radius,p5,0.00003134911607325860
mst.totalBits,radius,p25,0.00021890540026325497
mst.totalBits,radius,p50,0.00056126933041758531
mst.totalBits,radius,p75,0.00111952231554408865
mst.totalBits,radius,p95,0.00214792667675325552
mst.totalBits,radius,max,0.00324585298718031712
mst.totalBits,radius,mean,0.00075993800066624152
mst.totalBits,radius,trueMean,0.00000618597124972514
mst.totalBits,radius,meanDeviation,0.00075988247923571375
mst.totalBits,radius,minBits,9.14891501754740232855
mst.totalBits,radius,p5Bits,15.03887000751086411299
mst.totalBits,radius,p25Bits,17.84260744152086175518
mst.totalBits,radius,p50Bits,19.20098563611593078804
mst.totalBits,radius,p75Bits,20.19710140152488619947
mst.totalBits,radius,p95Bits,21.13716171165448898250
mst.totalBits,radius,maxBits,21.73281420132388319644
mst.totalBits,radius,meanBits,18.80008235837449959149
mst.totalBits,radius,meanDeviationBits,18.79765959931404495364
mst.totalBits,radius,columnBits,22.00000000000000000000
mst.totalBits,radius,varwidthBits,20.62462462462447376765
mst.totalBits,radius,lzmaBits,8.34434434434434457728
mst.totalBits,total,minBits,87.26612142667863736278
mst.totalBits,total,p5Bits,99.88299451273216789104
mst.totalBits,total,p25Bits,111.18039321146576980937
mst.totalBits,total,p50Bits,117.39821203995259679687
mst.totalBits,total,p75Bits,119.54618407521498113510
mst.totalBits,total,p95Bits,122.04498686024592757349
mst.totalBits,total,maxBits,124.81061679726570901039
mst.totalBits,total,meanBits,114.40256141519581944976
mst.totalBits,total,meanDeviationBits,118.56488954377999789358
mst.totalBits,total,columnBits,137.00000000000000000000
mst.totalBits,total,varwidthBits,126.62462462462347900782
mst.totalBits,total,lzmaBits,40.44044044044044028396
