method,attribute,stat,value
delaunay,positionTheta,p25,0.57626935320494165893
delaunay,positionTheta,p50,1.17095501428722670312
delaunay,positionTheta,p75,1.89707991693437350023
delaunay,positionTheta,p95,2.27734185297993896313
delaunay,positionTheta,max,3.14159265358979311600
delaunay,positionTheta,mean,1.21395086124119799820
delaunay,positionTheta,trueMean,0.00976058159389701051
delaunay,positionTheta,meanDeviation,1.21382112784784323978
delaunay,positionTheta,minBits,19.37527506086336970270
delaunay,positionTheta,p5Bits,26.69109153133745948594
delaunay,positionTheta,p25Bits,29.20481520703827982288
delaunay,positionTheta,p50Bits,30.22768565378613203620
delaunay,positionTheta,p75Bits,30.92378045683241083452
delaunay,positionTheta,p95Bits,31.18735087261962490857
delaunay,positionTheta,maxBits,31.65149613032768982634
delaunay,positionTheta,meanBits,29.80650884040922576901
delaunay,positionTheta,meanDeviationBits,29.80522972321733732315
delaunay,positionTheta,columnBits,32.00000000000000000000
delaunay,positionTheta,varwidthBits,31.25017018379727673505
delaunay,positionTheta,lzmaBits,8.16882232811436281850
delaunay,velocityMag,min,0.00007645421156202821
delaunay,velocityMag,p5,0.00069909296474633730
delaunay,velocityMag,p25,0.00168887298727569100
delaunay,velocityMag,p50,0.00264342190819237717
delaunay,velocityMag,p75,0.00380653714326387909
delaunay,velocityMag,p95,0.00578318216149007695
delaunay,velocityMag,max,0.01016821177704239736
delaunay,velocityMag,mean,0.00287044708600960345
delaunay,velocityMag,trueMean,0.00287044708600960345
delaunay,velocityMag,meanDeviation,0.00126266281978312214
delaunay,velocityMag,minBits,16.32499064952280320995
delaunay,velocityMag,p5Bits,19.51777578095620668819
delaunay,velocityMag,p25Bits,20.79027813993183215757
delaunay,velocityMag,p50Bits,21.43662343924975033360
delaunay,velocityMag,p75Bits,21.96269557702704133817
delaunay,velocityMag,p95Bits,22.56607972554909835594
delaunay,velocityMag,maxBits,23.38021005780507977079
delaunay,velocityMag,meanBits,21.29162547412967043670
delaunay,velocityMag,meanDeviationBits,19.79254650894480604961
delaunay,velocityMag,columnBits,24.00000000000000000000
delaunay,velocityMag,varwidthBits,22.37542545949685290907
delaunay,velocityMag,lzmaBits,8.17154526889040155879
delaunay,velocityTheta,min,0.00313228394737332261
delaunay,velocityTheta,p5,0.16351553696951801053
delaunay,velocityTheta,p25,0.78495503856668524811
delaunay,velocityTheta,p50,1.60000109173075477642
delaunay,velocityTheta,p75,2.36805624668534697719
delaunay,velocityTheta,p95,2.98428370899323480714
delaunay,velocityTheta,max,3.13747349913764894680
delaunay,velocityTheta,mean,1.57870600736329724789
delaunay,velocityTheta,trueMean,1.57870600736329724789
delaunay,velocityTheta,meanDeviation,0.78377734960030076561
delaunay,velocityTheta,minBits,21.68143157480070470911
delaunay,velocityTheta,p5Bits,27.38749964622370924872
delaunay,velocityTheta,p25Bits,29.65068192878928954315
delaunay,velocityTheta,p50Bits,30.67807289118841040931
delaunay,velocityTheta,p75Bits,31.24370334977491481254
delaunay,velocityTheta,p95Bits,31.57738469671516412518
delaunay,velocityTheta,maxBits,31.64960327415921526040
delaunay,velocityTheta,meanBits,30.22147670759083126768
delaunay,velocityTheta,meanDeviationBits,29.18702451709511436206
delaunay,velocityTheta,columnBits,32.00000000000000000000
delaunay,velocityTheta,varwidthBits,31.49999999999879207735
delaunay,velocityTheta,lzmaBits,8.17699115044247726303
delaunay,radius,min,0.00000017451469913610
delaunay,radius,p5,0.00006835492150699882
delaunay,radius,p25,0.00037233951536581877
delaunay,radius,p50,0.00082211529681389117
delaunay,radius,p75,0.00142353931504310763
delaunay,radius,p95,0.00240474563097491101
delaunay,radius,max,0.00352072655259362891
delaunay,radius,mean,0.00097283244123676357
delaunay,radius,trueMean,0.00001420546346217828
delaunay,radius,meanDeviation,0.00097263146801732374
delaunay,radius,minBits,7.56516859404029062830
delaunay,radius,p5Bits,16.16344405252342397716
delaunay,radius,p25Bits,18.60891357113937516488
delaunay,radius,p50Bits,19.75163162667639227266
delaunay,radius,p75Bits,20.54369994075910099696
delaunay,radius,p95Bits,21.30010112957137380363
delaunay,radius,maxBits,21.85008965906839861759
delaunay,radius,meanBits,19.38514309360302334539
delaunay,radius,meanDeviationBits,19.38186200004660975083
delaunay,radius,columnBits,22.00000000000000000000
delaunay,radius,varwidthBits,20.62525527569851746534
delaunay,radius,lzmaBits,8.17154526889040155879
delaunay,total,minBits,87.26612142667863736278
delaunay,total,p5Bits,103.54272063152761518268
delaunay,total,p25Bits,119.17184710555332571857
delaunay,total,p50Bits,122.79873788369883413907
delaunay,total,p75Bits,125.56737224592743018547
delaunay,total,p95Bits,128.39390137383861656417
delaunay,total,maxBits,132.03326574780550117794
delaunay,total,meanBits,121.14262188695042254949
delaunay,total,meanDeviationBits,120.89796725550286282669
delaunay,total,columnBits,138.00000000000000000000
delaunay,total,varwidthBits,129.87678692988168904776
delaunay,total,lzmaBits,40.52280462899931734455
