method,attribute,stat,value
baseline,velocityTheta,meanDeviation,1.57279251977675693652
baseline,velocityTheta,minBits,21.62010876635398304302
baseline,velocityTheta,p5Bits,27.28227624316775390412
baseline,velocityTheta,p25Bits,29.66758289793191849526
baseline,velocityTheta,p50Bits,30.68661040603653589187
baseline,velocityTheta,p75Bits,31.23230252747070423425
baseline,velocityTheta,p95Bits,31.58534408598931975121
baseline,velocityTheta,maxBits,31.64654754982005968600
baseline,velocityTheta,meanBits,30.21484605280586777099
baseline,velocityTheta,meanDeviationBits,30.21487420563133241558
baseline,velocityTheta,columnBits,32.00000000000000000000
baseline,velocityTheta,varwidthBits,31.49999999999978328447
baseline,velocityTheta,lzmaBits,8.34399999999999941735
baseline,radius,min,0.01165118425850481844
baseline,radius,p5,0.01205976242437944469
baseline,radius,p25,0.01254818385392650337
baseline,radius,p50,0.01292298999991942782
baseline,radius,p75,0.01322949391121729275
baseline,radius,p95,0.01341126778571486225
baseline,radius,max,0.01344367414442863666
baseline,radius,mean,0.01285849476974994590
baseline,radius,trueMean,0.01285849476974994590
baseline,radius,meanDeviation,0.00035798650500598421
baseline,radius,minBits,23.57662064270097701524
baseline,radius,p5Bits,23.62634551968018925550
baseline,radius,p25Bits,23.68362259695760130285
baseline,radius,p50Bits,23.72608392403402177706
baseline,radius,p75Bits,23.75990188632328425911
baseline,radius,p95Bits,23.77958963424509875040
baseline,radius,maxBits,23.78307148941641102624
baseline,radius,meanBits,23.71805755072739074762
baseline,radius,meanDeviationBits,18.06755605094242866926
baseline,radius,columnBits,24.00000000000000000000
baseline,radius,varwidthBits,24.00000000000002131628
baseline,radius,lzmaBits,8.34399999999999941735
baseline,total,minBits,135.93158781653906430620
baseline,total,p5Bits,141.41836002584244624813
baseline,total,p25Bits,143.43515666302084810013
baseline,total,p50Bits,145.07578355689614113544
baseline,total,p75Bits,145.96365413775450292633
baseline,total,p95Bits,146.68420561097926224647
baseline,total,maxBits,146.95825481977229287622
baseline,total,meanBits,144.60172660668686717145
baseline,total,meanDeviationBits,130.79087720212621093197
baseline,total,columnBits,150.00000000000000000000
baseline,total,varwidthBits,148.74999999999960209607
baseline,total,lzmaBits,40.71999999999999886313
delaunay,positionMag,min,0.03410216395676047424
delaunay,positionMag,p5,0.04668691277995855315
delaunay,positionMag,p25,0.04973981960162647542
delaunay,positionMag,p50,0.05127946215059432655
delaunay,positionMag,p75,0.05293431419009314576
delaunay,positionMag,p95,0.06949512255756300216
delaunay,positionMag,max,0.81935163187601112167
delaunay,positionMag,mean,0.05611823912623116473
delaunay,positionMag,trueMean,0.05611823912623116473
delaunay,positionMag,meanDeviation,0.00947663564533109647
delaunay,positionMag,minBits,25.12600717755953638743
delaunay,positionMag,p5Bits,25.57916205982713719891
delaunay,positionMag,p25Bits,25.67054513939102733389
delaunay,positionMag,p50Bits,25.71452499282384707158
delaunay,positionMag,p75Bits,25.76034710058617704931
delaunay,positionMag,p95Bits,26.15305557624094134894
delaunay,positionMag,maxBits,29.71255463827154841283
delaunay,positionMag,meanBits,25.77626777266604207739
delaunay,positionMag,meanDeviationBits,22.44628529183413689907
delaunay,positionMag,columnBits,30.00000000000000000000
