method,attribute,stat,value
mst.totalBits,velocityTheta,p50,0.03054619012111345691
mst.totalBits,velocityTheta,p75,0.05969777146023502734
mst.totalBits,velocityTheta,p95,0.11357640123745724181
mst.totalBits,velocityTheta,max,0.28165841654314244247
mst.totalBits,velocityTheta,mean,0.04113730909506476546
mst.totalBits,velocityTheta,trueMean,0.04113730909506476546
mst.totalBits,velocityTheta,meanDeviation,0.02859539542161582126
mst.totalBits,velocityTheta,minBits,10.49518819245258782757
mst.totalBits,velocityTheta,p5Bits,20.83205455192536703635
mst.totalBits,velocityTheta,p25Bits,23.66542109210325151025
mst.totalBits,velocityTheta,p50Bits,24.96713634907211698533
mst.totalBits,velocityTheta,p75Bits,25.93382093139797106573
mst.totalBits,velocityTheta,p95Bits,26.86173503338253709671
mst.totalBits,velocityTheta,maxBits,28.17201849762309251446
mst.totalBits,velocityTheta,meanBits,24.60526943951909117914
mst.totalBits,velocityTheta,meanDeviationBits,24.37060139820009752043
mst.totalBits,velocityTheta,columnBits,29.00000000000000000000
mst.totalBits,velocityTheta,varwidthBits,26.00000000000045474735
mst.totalBits,velocityTheta,lzmaBits,8.33633633633633586157
mst.totalBits,radius,min,0.00000019704103633097
mst.totalBits,radius,p5,0.00002853937185329225
mst.totalBits,radius,p25,0.00017750043837305371
mst.totalBits,radius,p50,0.00054698172636306538
mst.totalBits,radius,p75,0.00114933459594429924
mst.totalBits,radius,p95,0.00213998211285711809
mst.totalBits,radius,max,0.00324687667725578888
mst.totalBits,radius,mean,0.00075110717687403440
mst.totalBits,radius,trueMean,-0.00006918890796387382
mst.totalBits,radius,meanDeviation,0.00075163547233710049
mst.totalBits,radius,minBits,7.73857331484641264296
mst.totalBits,radius,p5Bits,14.90340726283874062119
mst.totalBits,radius,p25Bits,17.54012534729904615460
mst.totalBits,radius,p50Bits,19.16378516935204956440
mst.totalBits,radius,p75Bits,20.23501691200087293510
mst.totalBits,radius,p95Bits,21.13181570890360205794
mst.totalBits,radius,maxBits,21.73326913225016099318
mst.totalBits,radius,meanBits,18.71074666983716738855
mst.totalBits,radius,meanDeviationBits,18.74732582178130613215
mst.totalBits,radius,columnBits,22.00000000000000000000
mst.totalBits,radius,varwidthBits,20.62462462462446666223
mst.totalBits,radius,lzmaBits,8.34434434434434457728
mst.totalBits,total,minBits,79.86706059347426389650
mst.totalBits,total,p5Bits,92.13242238027314101600
mst.totalBits,total,p25Bits,103.98467061952830192695
mst.totalBits,total,p50Bits,107.26484461790742841458
mst.totalBits,total,p75Bits,109.19263282106916790326
mst.totalBits,total,p95Bits,111.27757249458903743289
mst.totalBits,total,maxBits,114.56650488982606361787
mst.totalBits,total,meanBits,105.40161197843913498673
mst.totalBits,total,meanDeviationBits,105.96838309181805470871
mst.totalBits,total,columnBits,127.00000000000000000000
mst.totalBits,total,varwidthBits,116.12412412412459161715
mst.totalBits,total,lzmaBits,40.57657657657657779282
